,Code_Agr,Sit_matrim,Taille,PropLog,ABS2_MatConst,ABS3_EauPot,ABS4_CoupEauPot,ABS5_AccEle,ABS6_Toi,ABS7_DistM,ABS8_AccVul,ABS9_DistBurVul,ABS10_AccSa,ABS11.Dist_Sa,ABS12.Acces_Ec,ABS13.Dist_Ec,AST1_AGR1.Tr,AST2_AGR2.Po,AST3_AGR4.Mach,AST4_RICH1.Réf,AST5_RICH2.Cui,AST6_RICH3.MachLa,AST7_RICH4.Chauf,AST8_RICH5.Te,AST9_RICH6.Pc,AST10_RICH7.Tv,AST11_RICH8.Mo,AST12_RICH9.Vo,AST13_TER.Poss,AST14_TER.AutrPropr,AST15_TER.RégimFonc,AST16_ter4.TypeExpl,AST17_ter5.IrrigBo,AST18_ter6.Sup,AST19_ter7.supcul2022,AST20_ter8.supcul2021,AST21_ter9.supcul2002,AST22_elev1.Prat,AST23_elev2.NbrBov,AST24_elev3.NbrEquid,AST25_elev4.NbrOvinCapr,AST26_elev5.NbrPoul,AST27_elev6.NbrLapin,SSN1_MembrCoop,SSN2_NbrAffil_Mal,SSN3_NbrAffil_Fem,SSN4_DurAff,SSN5_DomAssoc,SSN6_AccesCrédit,SSN7_TransfMén,SSN8_TransfFam,CA1_ExpAgr,CA2_NbrAgr,CA3_AgrUnqSourceRev,CA4_DivRev1.Expl,CA5_DivRev2.SalAgr,CA6_DivRev3.SalNAgr,CA7_DivRev4.EseNAgr,CA8_DivRev5.TransfReçus,CA9_DivRev6.Elvge,CA10_NivEduc,CA11_NbreAnnEduc,CA12_EauIrrig,CA13_Vulgaris,CA14_TravFém,CA15_PlantArbre,CA16_DivCultures,CA17_MembActif,CA18_MembActifFém,CA19_dép1,CA20_dép1Fém,CA21_dép2,CA22_dép2Fém,CA23_InfoClim,CA24_AdapNouvSem,CA25_AdapArbrCult,CA26_AdapCultPrincSecond,CA27_AdapModifDatPlant,CA28_AdapRotCult,CA29_AdapCultCourteMatur,CA30_CultEconEau,CA31_AdapGotaGot,CA32_AdapMobiEau,CA33_AdapExtensSurPlace,CA34_AdapExtensAilleurs,CA35_AdapVenteter,CA36_AdapLocter,CA37_AdapRédterCult,CA38_NbrImmigrTemp,CA39_NbrImmigrPerm,CA40_IntImmi,CA41_AidMénage,percCC_Exist,percCC_Perm,percCC_CauseNat,percCC_CauseHum,percCC_CauseChâtimDiv,percEffCC_ChutRent,percEffCC_ChangTypePlant,percEffCC_RédSurfCultiv,percEffCC_AbandRécolte,percEffCC_PénurEau,percEffCC_MortTroup,percEffCC_ArrêtActivAgr,percEffCC_InsécuritAlim,STAB1_Séch,STAB2_Décèsmemén,STAB3_Maladmemén,STAB4_MortBétail,STAB5_PertEmpl,STAB6_Pandémie,STAB7_HausPrixIntrants,STAB8_HausPrixCarbur,STAB9_HausPrixAlim,STAB10_ChutPrixProdAgr,STAB11_PénurieEau,STAB12_VarRev,STAB13_MaintMoySubs,Rev12m,STAB_Revm5,STAB_Revm12m
0,1.0,2,5,1,2.0,1,2.0,1,1,9.0,1,20.0,3.0,20.0,5,0.5,0,0.0,0.0,1,1,1,0.0,1,0,1,0.0,0,2.0,6.0,1.5,6,3.0,0.0,0.0,0.0,2.0,1,0.0,0.0,0,0.0,0,2.0,0.0,0,1.0,1.0,1.0,4.0,1,5,0.0,2,1,4.0,1,1,2,1,3,6,1,1,1,1,1,2,1.0,3,2.0,0.0,0.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1,1,1,1,1,1,0.0,5,1,4.0,5.0,4,5.0,5.0,5.0,5.0,5.0,4.0,5,4.0,5.0,5.0,1,0,0,0,0,3.0,3.0,3.0,3.0,3.0,5,1.0,1.0,2,1950,2000
1,2.0,2,7,1,2.0,1,2.0,1,1,9.0,1,20.0,3.0,20.0,5,0.7,0,0.0,1.0,1,1,1,0.0,1,0,1,0.0,0,2.0,6.0,1.5,6,3.0,0.0,0.0,0.0,3.0,5,4.0,1.0,0,10.0,0,1.0,1.0,0,4.0,2.0,1.0,1.0,1,5,1.0,2,1,4.0,2,1,1,3,3,5,1,1,1,1,1,3,1.0,4,2.5,0.0,0.0,2,1,1.0,1.0,1,1,1.0,1.0,1,1,1,1,1,1,1,0,0.0,1,1,4.0,4.0,4,4.0,4.0,4.0,4.0,5.0,5.0,5,3.0,4.0,4.0,1,0,0,0,0,4.0,4.0,4.0,4.0,4.0,5,2.0,1.0,2,3000,2000
2,3.0,2,5,1,2.0,1,2.0,1,1,9.0,1,20.0,3.0,20.0,5,0.5,0,0.0,1.0,1,1,1,0.0,1,0,1,0.0,0,2.0,6.0,5.5,6,3.0,0.0,0.0,0.0,5.0,5,5.0,0.0,15,1.0,0,1.0,1.0,0,4.0,2.0,1.0,1.0,1,5,2.5,2,1,3.0,3,1,2,4,1,0,1,1,1,1,1,3,1.0,0,0.0,2.0,1.0,3,1,1.0,1.0,1,1,1.0,1.0,1,1,1,1,1,1,1,1,0.0,1,1,4.0,4.0,4,4.0,4.0,4.0,4.0,5.0,5.0,5,3.0,4.0,4.0,1,0,0,0,0,4.0,4.0,4.0,4.0,4.0,5,1.0,1.0,2,5000,2500
3,4.0,2,6,1,3.0,1,2.0,1,1,9.0,1,20.0,4.0,20.0,5,0.5,0,0.0,1.0,1,1,1,0.0,1,0,1,0.0,0,2.0,2.0,4.0,1,1.0,5.0,1.1,3.5,5.0,5,12.5,1.0,6,10.0,0,1.0,1.0,0,4.0,2.0,4.0,1.0,1,5,2.0,2,4,1.0,1,1,1,4,1,0,3,1,3,5,4,2,1.0,2,2.0,2.0,1.0,5,4,3.0,1.0,3,5,5.0,5.0,5,5,1,1,1,1,5,0,0.0,1,5,5.0,5.0,4,4.0,4.0,5.0,5.0,5.0,5.0,5,4.0,5.0,4.0,1,0,0,0,0,4.0,4.0,4.0,4.0,4.0,5,2.0,3.5,2,6000,3000
4,5.0,2,5,1,1.0,1,2.0,1,1,9.0,1,20.0,5.0,20.0,5,0.2,0,0.0,0.0,1,1,1,0.0,1,0,1,0.0,0,2.0,6.0,5.5,6,3.0,0.0,0.0,0.0,3.0,1,0.0,0.0,0,0.0,0,2.0,0.0,0,1.0,1.0,1.0,4.0,1,5,0.0,2,1,4.0,1,1,2,1,3,5,1,1,1,1,1,2,1.0,2,0.0,1.0,1.0,2,1,1.0,1.0,1,1,1.0,1.0,1,1,1,1,1,1,1,1,0.0,2,1,4.0,5.0,4,4.0,5.0,4.0,5.0,5.0,5.0,5,5.0,5.0,5.0,1,0,0,0,0,4.0,4.0,4.0,4.0,4.0,5,1.0,1.0,2,3000,2000
5,6.0,2,5,1,3.0,1,2.0,1,1,9.0,1,20.0,4.0,20.0,5,0.5,0,0.0,0.0,1,1,1,0.0,1,0,1,0.0,0,2.0,6.0,5.5,6,3.0,0.0,0.0,0.0,1.0,4,2.0,0.0,0,0.0,0,1.0,0.0,0,1.0,1.0,1.0,1.0,1,5,1.0,2,1,4.0,1,1,1,2,4,7,1,1,1,1,1,2,1.0,3,1.0,0.0,0.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1,1,1,1,1,0,0.0,5,1,5.0,4.0,4,4.0,5.0,5.0,5.0,5.0,5.0,5,5.0,4.0,5.0,1,0,0,0,0,3.0,3.0,3.0,3.0,3.0,5,2.0,2.0,2,3000,2500
6,7.0,2,6,1,3.0,1,2.0,1,1,9.0,1,20.0,4.0,20.0,5,0.5,0,0.0,1.0,1,1,1,0.0,1,0,1,1.0,0,2.0,2.0,4.0,1,1.0,5.0,0.4,0.4,2.5,5,7.0,2.0,0,3.0,0,1.0,1.0,0,4.0,2.0,3.0,1.0,1,5,1.0,2,4,1.0,1,1,1,4,3,5,3,1,3,5,4,4,2.0,2,0.0,0.0,0.0,5,3,3.0,1.0,3,5,5.0,5.0,5,1,1,1,1,1,5,0,0.0,1,5,5.0,4.0,4,5.0,4.0,5.0,4.0,5.0,5.0,5,4.0,5.0,4.0,1,0,0,0,0,4.0,4.0,4.0,4.0,4.0,5,3.5,3.5,2,2000,3000
7,8.0,2,5,1,2.0,1,2.0,1,1,9.0,1,20.0,5.0,20.0,5,0.4,0,0.0,0.0,1,1,1,0.0,1,0,1,1.0,0,2.0,6.0,5.5,6,3.0,0.0,0.0,0.0,3.5,4,1.0,0.0,2,3.0,0,1.0,0.0,0,1.0,2.0,1.0,1.0,1,5,1.0,2,1,4.0,1,1,1,2,2,1,1,1,1,1,1,2,1.0,3,2.0,0.0,0.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1,1,1,1,1,0,0.0,5,1,5.0,5.0,4,5.0,5.0,5.0,4.0,5.0,4.0,5,5.0,5.0,5.0,1,0,0,0,0,3.0,3.0,3.0,3.0,3.0,5,2.0,2.0,2,3000,2000
8,9.0,2,5,1,2.0,1,2.0,1,1,9.0,1,20.0,4.0,20.0,5,0.5,0,0.0,0.0,1,1,1,0.0,1,0,1,1.0,0,2.0,6.0,5.5,6,3.0,0.0,0.0,0.0,2.5,1,0.0,0.0,0,0.0,0,2.0,0.0,0,1.0,1.0,1.0,1.0,1,5,0.0,2,1,5.0,1,1,1,1,3,6,1,1,1,1,1,2,1.0,3,1.0,0.0,0.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1,1,1,1,1,0,0.0,5,1,5.0,4.0,4,4.0,5.0,5.0,4.0,5.0,5.0,5,4.0,5.0,5.0,1,0,0,0,0,3.0,3.0,3.0,3.0,3.0,5,1.0,1.0,2,1000,2000
9,10.0,2,4,1,3.0,1,2.0,1,1,9.0,1,20.0,4.0,20.0,5,0.8,0,0.0,0.0,1,1,1,0.0,1,0,1,0.0,0,2.0,6.0,5.5,6,3.0,0.0,0.0,0.0,3.0,1,0.0,0.0,0,0.0,0,2.0,0.0,0,1.0,1.0,1.0,1.0,1,5,1.0,2,1,2.0,4,1,1,1,3,5,1,1,1,1,1,2,1.0,2,1.0,0.0,0.0,1,1,1.0,1.0,1,1,1.0,1.0,1,1,1,1,1,1,1,0,0.0,5,1,5.0,5.0,4,5.0,5.0,5.0,5.0,5.0,5.0,5,4.0,5.0,5.0,1,0,0,0,0,3.0,3.0,3.0,3.0,3.0,5,1.0,1.0,2,1750,1800
